,eth_PriceUSD,eth_AdrActCnt,eth_BlkCnt,eth_BlkSizeByte,eth_BlkSizeMeanByte,eth_DiffMean,eth_FeeMeanNtv,eth_FeeMedNtv,eth_FeeTotNtv,eth_TxCnt,eth_TxTfr,eth_TxTfrValMeanNtv,eth_TxTfrValMedNtv,eth_TxTfrValNtv
2018-01-02,860.6711165984804,619409.0,5750.0,173404853.0,30157.3657391304,1924729868145040.0,0.000912555086501103,0.00042,1053.030166302172,1153936.0,923674.0,15.9919111868873,0.64900961,14771312.57363694
2018-01-03,943.9436741671537,648959.0,5540.0,179899549.0,32472.8427797834,1904343002124750.0,0.00100182949781924,0.000441,1240.2949731866902,1238030.0,1028004.0,14.0595798331049,0.999060421651827,14453304.306751212
2018-01-04,950.4492834599649,716438.0,5454.0,183694448.0,33680.6835350202,1895450077810930.0,0.00109909159153287,0.00063,1483.6527485036265,1349890.0,1189311.0,17.6899571636997,1.28519925,21038860.644316882
2018-01-05,956.5176496201051,703108.0,5341.0,178476756.0,33416.3557386257,1933064000890840.0,0.00250150520185546,0.001640625,3180.8564800670847,1271577.0,1104755.0,17.4554807364986,1.0,19284029.621050507
2018-01-06,1005.0073354763297,669883.0,5416.0,176860808.0,32655.2451994092,1899132251295370.0,0.00296951227654005,0.0021,3641.8603376581254,1226417.0,1033247.0,15.3725482735641,0.75083416,15883639.386015292
2018-01-07,1102.8675838690824,614040.0,5528.0,172839037.0,31266.1065484805,1950646574073070.0,0.00252479092092829,0.001848,2910.3820399581505,1152722.0,921342.0,13.831282616778,0.709510045,12743341.58870747
2018-01-08,1128.9991846873174,661636.0,5408.0,175771985.0,32502.2161612426,2005809803772540.0,0.00242235315837838,0.00189036,2944.304860478387,1215473.0,1000272.0,16.0542297050138,0.7127606925,16058596.45549353
2018-01-09,1284.9286946230277,715228.0,5377.0,177642105.0,33037.400967082,2009516993419590.0,0.00246101612511574,0.001848,3091.62689702307,1256240.0,1051070.0,15.9845729493977,0.86917752,16800905.08992342
2018-01-10,1229.9190312682645,671853.0,5415.0,165948166.0,30646.0140350877,2005905468357510.0,0.00313890930252943,0.002373,3696.646401950231,1177685.0,989213.0,18.3402136151408,0.84466314,18142377.73087428
2018-01-11,1128.8724450613674,668789.0,5430.0,169948477.0,31298.0620626151,2075422196108210.0,0.00266828973188843,0.002079,3132.4787550971573,1173965.0,977265.0,16.7156659208626,0.80645,16335635.256151805
2018-01-12,1255.8129672706023,617412.0,5419.0,166119582.0,30655.0252814172,2099697198017230.0,0.00207793942369581,0.00126,2324.7092758345725,1118757.0,874466.0,14.781608608353,0.59387221,12926014.153311985
2018-01-13,1377.9059582115724,654142.0,5394.0,168636663.0,31263.7491657397,2140802162894370.0,0.00204495263223841,0.001533,2411.6555832045874,1179321.0,883935.0,11.1722490338091,0.434869806084572,9875541.949700065
2018-01-14,1359.7256639392167,614264.0,5625.0,164942509.0,29323.1127111111,2169168472872540.0,0.00206809610988199,0.0013079,2236.838275781157,1081593.0,826196.0,30.4081377971064,0.295531999588282,25123081.815418147
2018-01-15,1279.9262331969612,714821.0,5424.0,172731624.0,31845.8008849558,2189371914984290.0,0.0018459796734154,0.001092,2227.0267976071423,1206420.0,999846.0,12.3101981779327,0.53935389,12308302.407413345
2018-01-16,1044.729667445938,735111.0,5522.0,180941870.0,32767.4520101413,2201746653627640.0,0.00174485413159769,0.001092,2229.8119095299157,1277936.0,1066881.0,14.7008837252551,0.73587818,15684093.529683905
2018-01-17,1009.3951665692579,718205.0,5572.0,180681911.0,32426.7607681263,2257174215656150.0,0.00162027506780694,0.001071,2069.225744436101,1277083.0,1065402.0,15.613124224643,0.952837,16634253.775183054
2018-01-18,1008.5424295733491,681654.0,5569.0,176566280.0,31705.2038067876,2275486358054680.0,0.00178650458266095,0.001197,2153.066738944201,1205184.0,983176.0,14.8568131484903,0.799647672251146,14606862.124080073
2018-01-19,1028.421958503799,543995.0,5685.0,163991686.0,28846.3827616535,2268779620398620.0,0.00178894224916824,0.001092,1866.3265240354997,1043257.0,817839.0,11.6625686356179,0.48832153,9538103.470385082
2018-01-20,1150.046152542373,470143.0,5873.0,161003466.0,27414.1777626426,2363822835246490.0,0.00180482567079388,0.00105,1776.8310198097895,984489.0,726306.0,11.0594266654434,0.217541255,8032527.943671515
2018-01-21,1037.992642314436,612388.0,5810.0,155696409.0,26798.0049913941,2372814638709980.0,0.00131537101269766,0.001029,1323.960385411047,1006530.0,796215.0,9.57476803459486,0.57478535,7623573.930664948
2018-01-22,991.402986265342,547707.0,5883.0,152154974.0,25863.5005949346,2395157190554140.0,0.00123008441359262,0.00063,1196.762656913288,972911.0,750022.0,12.344604887832,0.40025538,9258725.247181512
2018-01-23,984.3130873758035,527571.0,5898.0,147917500.0,25079.2641573415,2399287063794760.0,0.00154993384995353,0.000861,1439.1042800780065,928494.0,677116.0,13.6977496228223,0.45,9274965.433606952
2018-01-24,1048.2866417299826,510896.0,5961.0,146436020.0,24565.6802549908,2459967161560840.0,0.00141472948024106,0.00084,1292.5930547529724,913668.0,653673.0,14.0102525181198,0.497,9158123.794276904
