,btc_PriceUSD,btc_AdrActCnt,btc_BlkCnt,btc_BlkSizeByte,btc_BlkSizeMeanByte,btc_DiffMean,btc_FeeMeanNtv,btc_FeeMedNtv,btc_FeeTotNtv,btc_TxCnt,btc_TxTfr,btc_TxTfrValMeanNtv,btc_TxTfrValMedNtv,btc_TxTfrValNtv
2016-04-16,432.216313033314,407712.0,138.0,92089303.0,667313.789855073,178678307671.688,0.000186983300017719,0.0001,33.76843605,180596.0,426426.0,5.62113190749588,0.02380977,2396996.79478584
2016-04-17,429.339968731736,485493.0,158.0,105611436.0,668426.810126582,178678307671.688,0.000179853317343765,0.0001,34.75683343,193251.0,514298.0,3.93903804858891,0.01265,2025839.39031318
2016-04-18,429.656933664524,473379.0,134.0,111923688.0,835251.402985075,178678307671.688,0.000213340144857035,0.0001,47.36407224,222012.0,499886.0,3.95539961695929,0.0251796,1977248.89292331
2016-04-19,437.568726183518,480187.0,150.0,112316744.0,748778.293333333,178678307671.688,0.000193462047967454,0.0001,43.65529151,225653.0,508269.0,4.19750932245047,0.027625935,2133463.86581258
2016-04-20,442.661653302163,458038.0,165.0,113091987.0,685405.981818182,178678307671.688,0.000199444348905247,0.0001,42.26624642,211920.0,472702.0,4.5373386242099,0.03519545,2144809.04234127
2016-04-21,452.164702805377,481473.0,151.0,112449178.0,744696.543046358,178678307671.688,0.000200571400520826,0.0001,43.2084951,215427.0,512366.0,5.01376337518848,0.02540106,2568881.88549182
2016-04-22,448.134421332554,438706.0,143.0,109934398.0,768772.013986014,178678307671.688,0.000202244835404986,0.0001,42.38546138,209575.0,462255.0,5.05012546813025,0.033553,2334445.74827055
2016-04-23,453.914722969024,433938.0,144.0,93465564.0,649066.416666667,178678307671.688,0.000179347333369565,0.0001,32.99990934,184000.0,464587.0,4.13018295192059,0.01559893,1918829.30708393
2016-04-24,463.382871420222,456476.0,132.0,96986059.0,734742.871212121,178678307671.688,0.000182147785165064,0.0001,33.25945698,182596.0,482074.0,3.50312740033117,0.01119,1688766.63838725
2016-04-25,465.31600666277,496102.0,127.0,111445837.0,877526.275590551,178678307671.688,0.000198238002321307,0.0001,43.89524614,221427.0,520348.0,4.4093598626696,0.02531573,2294401.5858204
2016-04-26,469.60876452367,526580.0,151.0,122982198.0,814451.642384106,178678307671.688,0.00134916671716506,0.0001,337.70317514,250305.0,580328.0,4.280442023968,0.025548,2484060.3588853
2016-04-27,445.741113091759,477617.0,129.0,114089718.0,884416.418604651,178678307671.688,0.000193221599308999,0.0001,47.31262725,244862.0,525366.0,4.40881308789891,0.035,2316240.4967371
2016-04-28,451.060061776739,459333.0,135.0,121163174.0,897504.992592593,178665466628.55,0.000200422937751903,0.0001,49.2298862,245630.0,537878.0,4.1953109666258,0.02192749,2256565.47210675
